BCHEM 579 | Medical Biotechnology | FNK Arthur = MSc Biotech(2)
CHEM 545 | Advanced Chemical Kinetics | E Adei | MPhil CC(1)
CHEM 513 | Radio Chemistry | MA Nkansah = MPhil AEC(1)
CSM 571 | Computational Theory | JK Panford = MPhil CS(8)
MIT 561 | Professional Development for IT Management | MY Missah = MIT(16)
PHY 153 | Electricity & Magnetism | RM Noye = P1(87),MET1(76) || SK Danuor = C1(203) || K Preko = M1(160)
PHY 395 | Solid State Physics II | FK Ampong = P3(87)
MET 355 | Atmospheric & Ocean Dynamics | E Quansah = MET3(32)
BCHEM 459 | Food Processing and Preservation | J Barimah = C3(80)
CHEM 159 | Foundation Chemistry | LS Borquaye = FST1(140)
CSM 297 | Database Concepts & Technologies I | KO Peasah = CS2 Regular(190), CS2 Parallel(54)
BCHEM 357 | Fermentation Biochemistry & Biotechnology I | HD Zakpa = BC3(158)
ENGL 157 | Communication Skills I | OY Akoto = OD1(82) || E Antwi-Fordjour = M1(160),AS1(89) || N Awuah Darteh = CS1(221) || Z Ossei = ST1(216) || JP Kuutiero = P1(87),MET1(76)
FTECH 265 | Food Engineering I | EA Amankwan = FST2(52)
PHY 259 | Mathematics for Physics III | GA Okyere = P2(152),MET2(51)
CSM 487 | PC Computing I | N Ussiph = M4(5)
OPT 463 | General Optometry Clinic I | AK Mohammed = OD4(25)
MATH 469 | Advanced Topics In General Topology | W Obeng-Denteh = M4(54)
PHARM 581 | Advanced Ocular Pharmacology & Therapeutics | GA Koffour = OD5(37)
CHEM 463 | Environmental Analysis II | RB Voegborlo = ES4(81)
PHY 453 | Statistical Mechanics | RY Tamakloe = P4(69)
STAT 367 | Introduction to Regression Analysis | AO Adebanji  = ST3(214)
MATH 369 | Regression Analysis | AO Adebanji = M3(94),AS3(90)
MSTAT 573 | Mathematical Statistics | SK Appiah = MPhil MS(16)
STAT 473 | Further Topics in Regression Analysis | E Harris = ST4(30)
NUT 551 | Food Safety & Hygiene | HE Lutterodt/FC Mills = MPhil HND(12)
MATH 519 | Measure Theory & Integration I | E Prempeh = MPhil PM/MS(12)
MATH 507 | Optimization Techniques I | N/A = MPhil AM(9)
ENGL 157 | Communication Skills I | OY Akoto = B1(318),BC1(246),FST1(140) || E Antwi-Fordjour = ES1(188),C1(203)
BIOL 253 | Human Anatomy & Physiology I | K Owusu-Daaku = OD2(85) || PK Baidoo = B2(254),BC2(135)
PHY 367 | Medical Physics I | EK Addison = P3(29)
PHY 391 | Structural Defects in Crystals | F Boakye = P3(7)
GEOG 359 | Climatology & Biogeography I | F Asante = ES3(120)
CHEM 475 | Modern Trends in Chemistry | G Darko = C4(10)
BIOL 457 | Food & Industrial Microbiology | JL Terlabie = B4(159)
CSM 287 | Programming with Basic | D Asamoah = C2(266)
NUT 501 | Nutritional Biochemistry | C Apprey | MPhil HND(14)
FTECH 385 | Food Microbiology | WO Ellis = FST3(87)
FTECH 583 | Food Microbiology | WO Ellis = MSc FST(9)
PHY 543 | Mathematical Methods for Geophysics | SK Danuor = MPhil Geo(2)
PHY 561 | Electrical and Optical Properties of Solids | RK Nkum = MPhil SS(3)
PHY 585 | Metallic Materials | OA Nunoo = MPhil MS(2)
PHY 565 | Detection and Measurement of Radiation | EK Addison = MPhil NP(0)
MATH 279 | Mathematical Programming | E Owusu-Ansah = M2(191),AS2(154),ST2(302)
ENVS 257 | Forest Biome & Vegetation Analysis | MA Arkoh = ES2(255)
CHEM 361 | Separation Methods of Analysis | RB Voegborlo = C3(195)
PHY 379 | Analogue Circuits | MKE Donkor = P3(7)
PHY 393 | Microstructural Characterization of Materials | B Kwakye-Awuah = P3(20)
PHY 385 | Introductory Geophysics | RM Noye = P3(21)
BCHEM 355 | Analytical Biochemistry I | FC Mills-Robertson/A Kwarteng = BC3(158)
CSM 153 | Circuit Theory | AA Aning = CS1(221)
OPT 357 | Dispensing Optics I | AS Ahmed = OD3(43)
OPT 501 | Community Eye Health for Optometrists | TM Pascal = OD5(37)
STAT 365 | Sample Survey Theory & Methods I | SK Appiah = ST3(214)
PHY 157 | Mathematics for Physics I | GA Okyere = P1(87),MET1(76)
CHEM 253 | Functional Group Chemistry II | A Acheampong = C2(266)
MATH 363 | Theoretical Mechanics | KF Darkwah = M3(94)
BIOL 151 | Cell Structure | WG Akanwariwiak/K Badu = B1(318),BC1(246),OD1(82),FST1(140)
